GUID:{D1057998-6320-421d-B116-29C7F6D23B06},ObjectType,Stereotype,LSSTRequirements,Version,Name,Notes,ComplianceAssessment,ComplianceMethod,ComplianceStatusSummary,ComplianceDoc,VerificationOwner,RTA,VerificationLevel,VerificationMethod-Primary,VerficationMethod-Secondary,Verification Requirement,Success Criteria,Possible Requirement Changes/Notes
{C61445FA-F8F4-469f-972A-676544953424},Requirement,requirement,DMS-REQ-0024,1,Raw Image Assembly,"Specification: The DMS shall assemble the combination of raw exposure data from all the readout channels from a single Sensor to form a single image for that sensor. The image data and relevant exposure metadata shall be integrated into a standard format suitable for down-stream processing, archiving, and distribution to the user community.Discussion: Relevant exposure metadata are those that define the observing context, telescope and instrument configuration, and provenance.",,,,,DM,,SL,Demonstration,Inspection,Requires a simulated DAQ and OCS. Files are verified against the relevant DM specification for raw metadata content and pixel values.,,Doesn't say that data should match. 
{7F4248E0-3A56-40c0-A2F6-E958337F0827},Requirement,requirement,DMS-REQ-0018,1,Raw Science Image Data Acquisition,"Specification: The DMS shall acquire raw Exposure data from the Camera science sensors during normal operations, calibration data collection, and in any other required engineering modes.Discussion: The manner of data acquisition is a matter for the DM-Camera ICDs, LSE-69 and LSE-68, in this area.",,,,,DM,,SL,Test,,"This requires a DAQ and OCS. We test in all known operating, calibration, and engineering modes. We verify that the pixels are the same as provided by the DAQ client library. We do not take responsibility for corruption between the DAQ and the client. Set up lab to simulate the summit. ",,Split roles? Cam and DM. Camera checksums not sent. May need requirement update. Need way to identify data sent from camera. Need to understand if checksums can be done in the DAQ. Need to understand the DAQ interface. Possible Interface Req for Camera to do checksum?
{69F7D720-6282-4b0a-8821-BA4FF6CEF961},Requirement,requirement,DMS-REQ-0068,1,Raw Science Image Metadata,"Specification: For each raw science image, the DMS shall store image metadata including at least:* Time of exposure start and end, referenced to TAI* Site metadata (site seeing, transparency, weather)* Telescope metadata (telescope pointing, active optics state, environmental state)* Camera metadata (shutter trajectory, wavefront sensors, environmental state)",,,,,DM,,SL,Test,Inspection,This is a more specific restatement of DMS-REQ-0024. Can be done with simulated camera DAQ and OCS. Compare against ICD. Test that the metadata placed on the OCS middleware by the simulated OCS is the same as that stored in the image metadata. ,,No EFD involved. or Is this in the ICD? 
{57C6C111-748C-402f-85D4-AA86507B37B4},Requirement,requirement,DMS-REQ-0022,1,Crosstalk Corrected Science Image Data Acquisition,"Specification: The DMS shall acquire crosstalk corrected exposure data from the Camera science sensors, during normal survey operations and in any other required operating modes.Discussion: The manner of data acquisition is a matter for the DM-Camera ICD in this area.  It may be different for that for the raw science sensor data, as it is subject to quite different latency and reliability requirements.This data is the input to the main Alert Production pipelines.  It is not planned to be archived.",,,,,DM,,SL,Test,,Verify that DMS can accept cross talk corrected exposure data from the camera.,,
{C4480783-5881-4f0e-9F92-437F7AF9F355},Requirement,requirement,DMS-REQ-0020,1,Wavefront Sensor Data Acquisition,"Specification: The DMS shall acquire raw exposure data from the Camera wavefront sensors, during normal survey operations and in any other required operating modes.Discussion: The details of this are a matter for the DM-Camera ICD in this area. However, these data should be identical in format and in mode of acquisition to the raw science sensor data.There is no currently established requirement for the acquisition or archiving of any raw guider sensor data.",,,,,DM,,SL,Test,,Simulated camera DAQ acquiring wavefront data. Data backbone archiving the data. The final sentence in the discussion is negated by DMS-REQ-0265.,,
{D4076BA4-9AD5-40ea-8D2A-65256EBE067D},Requirement,requirement,DMS-REQ-0265,1,Guider Calibration Data Acquisition,"Specification: The DMS shall acquire raw, full-frame exposures from the camera guider sensors during calibration.Discussion: The DMS shall produce calibration data products for the guide sensors.",,,,,DM,,SL,Demonstration,,Needs a simulated DAQ for guider and data backbone. Does not say whether data are archived or not.,,"During calibration full exposures can be read out from guider sensors. Shall statement in discussion, pull out.  ""Guider calibration data should be provided to the TCS."" Need documentation/diagrams showing the operations and flow of data. "
{B00A25AE-FC17-4c1e-BE44-C6C9A84CBEF8},Requirement,requirement,DMS-REQ-0004,1,Nightly Data Accessible Within 24 hrs,"Specification: With the exception of alerts and Solar System Objects, all Level 1 Data Products shall be made public within time L1PublicT (LSR-REQ-0104) of the acquisition of the raw image data. Alerts shall be made available within time OTT1 (LSR-REQ-0101) from the conclusion of readout of the raw exposures used to generate each alert to the distribution of the alert to community distribution mechanisms.  Solar System Object orbits shall be made available within time L1PublicT of the computation of a new or updated orbit from a night's data.Discussion: Because of the processing flow of SSObject orbit determination, meeting the base 24-hours-after-data-acquisition requirement would be far more challenging than for the other L1 Data Products.",,,,,DM,,SL,Test,,"This is 3 distinct requirements. OTT1 can be tested with simulated data. L1 Data Products can be created with precursor data but requires that we include some ""worst case"" datasets (in terms of density and night length). SSObject orbit determination can be done to a certain extent with simulated data. Will need to be verified again during commissioning.",,Split requirements.
{02661FF2-2B04-4b8b-816C-9790FC35ACBA},Requirement,requirement,DMS-REQ-0069,1,Processed Visit Images,"Specification: The DMS shall produce Processed Visit Images, in which the corresponding raw sensor array data has been trimmed of overscan and corrected for instrumental signature. Images obtained in pairs during a standard visit are combined.Discussion: Processed science exposures are not archived, and are retained for only a limited time to facilitate down-stream processing. They will be re-generated for users on-demand using the latest processing software and calibrations.This aspect of the processing for Special Programs data is specific to each program.",,,,,DM,,SL,Demonstration,,Use simulated raw data in format from DMS-REQ-0024. Run end-to-end test for one visit. Check that Processed Visit images have been created in expected format.,,
{25C54D18-3034-40c4-9961-7C10C76816B2},Requirement,requirement,DMS-REQ-0072,1,Processed Visit Image Content,"Specification: Processed visit images shall include the corrected science pixel array, an integer mask array where each bit-plane represents a logical statement about whether a particular detector pathology affects the pixel, a variance array which represents the expected variance in the corresponding science pixel, and a representation of the spatially varying PSF that applies over the extent of the science array. These images shall also contain metadata that map pixel to world (sky) coordinates (the WCS) as well as metadata from which photometric measurements can be derived.",,,,,DM,,SL,Demonstration,,Take output from DMS-REQ-0069 and compare against the processed visit ICD.,,
{9C431141-E76C-4425-9679-173D7CC945AD},Requirement,requirement,DMS-REQ-0029,1,Generate Photometric Zeropoint for Visit Image,"Specification: The DMS shall derive and persist a photometric zeropoint for each visit image, per CCD.",,,,,DM,,SL,Demonstration,,Check that a zeropoint is present in output data files from DMS-REQ-0069. Does not check that the value is reasonable.,,
{53EF55CE-7571-429f-A43C-99A009863741},Requirement,requirement,DMS-REQ-0030,1,Generate WCS for Visit Images,"Specification: The DMS shall generate and persist a WCS for each visit image.  The absolute accuracy of the WCS shall be at least astrometricAccuracy in all areas of the image, provided that there are at least astrometricMinStandards astrometric standards available in each CCD.Discussion: The World Coordinate System for visits will be expressed in terms of a FITS Standard representation, which provides for named metadata to be interpreted as coefficients of one of a finite set of coordinate transformations.",,,,,DM,,SL,Test,,See Nidever/Economou document Section 3.2. Note terminology in this requirement is not consistent with LSR. Can be tested with existing survey data. Also needs to be tested with real LSST data. ,,
{2E839B3D-8C3F-4d81-9285-4B575D4FA024},Class,constraintBlock,,1,astrometricQuality,,,,,,DM,,,,,,,
{6C57BE7F-5A5A-485e-89DC-DB9AD00106AA},Requirement,requirement,DMS-REQ-0070,1,Generate PSF for Visit Images,Specification: The DMS shall determine a characterization of the PSF for any specified location in Processed Visit Images.,,,,,DM,,SL,Demonstration,,Can be checked with any test data. No requirement on accuracy. Just test that a PSF model can be retrieved from any location in the Processed Visit.,,
{0FAA7403-8C04-4b48-BD8F-FDC906499A36},Requirement,requirement,DMS-REQ-0010,1,Difference Exposures,"Specification: The DMS shall create a Difference Exposure from each Processed VIsit Image by subtracting a re-projected, scaled, PSF-matched Template Image in the same passband.Discussion: Difference Exposures are not archived, and are retained for only a limited time to facilitate Alert processing. They can be re-generated for users on-demand.",,,,,DM,,SL,Demonstration,,No requirement for quality of difference processing. No requirement this is tested as part of a full L1 end to end test. Just requires a processed image and a template: demonstrate that a difference exposure is created.,Need to modify the requirement to not specify PSF-matched templates or other implementation details. ,
{7991111A-5062-4e32-8317-CC1DD68A50CB},Requirement,requirement,DMS-REQ-0074,1,Difference Exposure Attributes,"Specification: For each Difference Exposure, the DMS shall store: the identify of the input exposures and related provenance information, and a set of metadata attributes including at least a representation of the PSF matching kernel used in the differencing.",,,,,DM,,SL,Demonstration,,Demonstrate that all the noted information can be retrieved from the database system. Requirement needs to be adjusted as PSF matching kernel might not exist.,,
{CB4CFDA3-05D3-483f-AA90-A24576C17A29},Requirement,requirement,DMS-REQ-0266,1,Exposure Catalog,"Specification: The DMS shall create an Exposure Catalog containing information for each exposure that includes the exposure date/time and duration, properties of the filter used, dome and telescope pointing and orientation, status of calibration apparatus, airmass and zenith distance, telescope and dome status, environmental information, and information regarding each sensor including an ID, its location in the focal plane, electronic configuration, and WCS.",,,,,DM,,SL,Inspection,,This requires a database table to be created with the relevant columns and for those columns to be verified. Also show that the data stored in the table is appropriate.,,
{54546811-7BF8-4ff8-B06B-0AC67DB85380},Requirement,requirement,DMS-REQ-0269,1,DIASource Catalog,"Specification: The DMS shall construct a catalog of all Sources detected on Difference Exposures with SNR &gt; diaSourceThresh. For each Difference Source (DIASource), the DMS shall be able to provide the identity of the Difference Exposure from which it was derived; the identity of the associated SSObject, if any; the identity of the parent Source from which this DIASource has been deblended, if any. The DMS shall also measure and record a set of attributes for each DIASource including at least: epoch of the observation, focal plane position centroid and error (pixel), sky position and associated error (radec), SNR of the detection; calibrated PS flux and associated error; likelihood of the observed data given the PS model; calibrated flux and associated error for a trailed source model, and length and angle of the trail; parameters of an adaptive shape measurement and associated error; a measure of source extendedness; and flags indicating problems encountered while computing the aforementioned attributes. The DMS shall also determine and record measurements on the Calibrated exposure the following: calibrated flux and associated error for the source as measured on the Visit image.",,,,,DM,,SL,Demonstration,,Assume this is verified by performing a difference image processing and checking that reasonable data automatically appears in the DIASource table. Verify against DPDD.,,
{8CD4EE9B-A53D-4283-AFE0-762C33B74CE4},Class,constraintBlock,,1,diaSourceCat,,,,,,,,,,,diaSourceThresh is really transSNR,,
{BC6C4A09-B594-4ebe-95C9-CA18645BE91D},Requirement,requirement,DMS-REQ-0270,1,Faint DIASource Measurements,"Specification: The DMS shall be able to measure and store DIASources fainter than diaSourceThresh that satisfy additional criteria. A limited number of such sources shall be made to enable monitoring of DIA quality. Discussion: Some individual faint sources may be of high significance, such as a potentially hazardous asteroid.",,,,,DM,,SL,,,"We first need to define some criteria. Then we need to work out whether this is an after burner, triggered after processing, or something directly integrated into L1 processing and triggered automatically.",,
