task_code,status_code,wbs_id,task_name,start_date,end_date,succ_list,delete_record_flag
Activity ID,Activity Status,WBS Code,Activity Name,(*)Start,(*)Finish,(*)Successors,Delete This Row
LSST-1520,Not Started,LSST BL 18-03.00.04.02,System First Light,,2/19/2021 8:00:00 AM,LSST-1540,
LSST-1510,Not Started,LSST BL 18-03.00.04.02,Start Early System Integration and Test (ComCam),5/6/2020 8:00:00 AM,,LSST-1512,
LSST-1540,Not Started,LSST BL 18-03.00.04.02,Start of Science Verification,3/10/2021 8:00:00 AM,,"LSST-1550, LSST-1560",
LSST-1560,Not Started,LSST BL 18-03.00.04.02,Science Verification Complete,,10/29/2021 5:00:00 PM,COMC-2164,
LSST-1513,Not Started,LSST BL 18-03.00.04.02,Engineering First Light w/ComCam,,5/22/2020 5:00:00 PM,,
LSST-1620,Not Started,LSST BL 18-03.00.05,Start of Full Science Operations,10/3/2022 8:00:00 AM,,LSST-1590,
CAMM6995,Not Started,LSST BL 18-03.03C.00,COMP: Partial Camera Image data for Data Management*,,7/31/2018 8:00:00 AM,"DLP-551, LDM-503-07",
LDM-503-01,Not Started,LSST BL 18-03.02C.00,Test report: Science Platform with WISE data in PDAC,,11/30/2017 5:00:00 PM,LDM-503-07,
LDM-503-02,Not Started,LSST BL 18-03.02C.00,Test report: HSC reprocessing,,11/30/2017 5:00:00 PM,"DM-NCSA-4, LDM-503-07",
LDM-503-03,Not Started,LSST BL 18-03.02C.00,Test report: Alert generation validation,,11/30/2017 5:00:00 PM,LDM-503-05,
LDM-503-04,Not Started,LSST BL 18-03.02C.00,Test report: Aux Tel DAQ integration functionality test,,6/1/2018 8:00:00 AM,"CAMM6455, LDM-503-04b, LDM-503-10, EIA-17",
LDM-503-05,Not Started,LSST BL 18-03.02C.00,Test report: Alert distribution validation,,7/2/2018 5:00:00 PM,LDM-503-11,
LDM-503-06,Not Started,LSST BL 18-03.02C.00,Test report: DM ComCam interface verification readiness,,11/30/2018 5:00:00 PM,"T&SC-5900-0200, LDM-503-07, LDM-503-10",
LDM-503-07,Not Started,LSST BL 18-03.02C.00,Test report: Camera data processing,,11/30/2018 5:00:00 PM,"LSST-1470, LDM-503-09",
LDM-503-08,Not Started,LSST BL 18-03.02C.00,Test report: Spectrograph data acquisition,,11/30/2018 5:00:00 PM,"T&SC-6800-1464, LDM-503-11, LDM-503-10, EIA-27",
LDM-503-09,Not Started,LSST BL 18-03.02C.00,Test report: Ops rehearsal for commissioning #1,,1/4/2019 5:00:00 PM,LDM-503-11,
LDM-503-10,Not Started,LSST BL 18-03.02C.00,Test report: DAQ validation,,11/30/2018 5:00:00 PM,"LDM-503-12, CAMM6836, LDM-503-11a",
LDM-503-11,Not Started,LSST BL 18-03.02C.00,Test report: Ops rehearsal for commissioning #2,,10/31/2019 5:00:00 PM,"LDM-503-13, LDM-503-12",
LDM-503-12,Not Started,LSST BL 18-03.02C.00,Test report: Ops rehearsal for commissioning #3,,1/31/2020 5:00:00 PM,"LDM-503-14, LSST-1510, LDM-503-13",
LDM-503-13,Not Started,LSST BL 18-03.02C.00,Test report: Ops rehearsal DRP (ComCam data),,11/30/2020 5:00:00 PM,LDM-503-14,
LDM-503-14,Not Started,LSST BL 18-03.02C.00,Test report: DM Software for Science Verification,,11/30/2020 5:00:00 PM,"LDM-503-15, COMC-0140",
LDM-503-15,Not Started,LSST BL 18-03.02C.00,Test report: Full scale ops rehearsal,,10/29/2021 5:00:00 PM,LDM-503-16,
LDM-503-16,Not Started,LSST BL 18-03.02C.00,Test report: Ops rehearsal DRP,,5/31/2022 5:00:00 PM,LDM-503-17,
LDM-503-17,Not Started,LSST BL 18-03.02C.00,Test report: Verification Tests for Full DRP,,5/31/2022 5:00:00 PM,LSST-1590,
LDM-503-04b,Not Started,LSST BL 18-03.02C.00,Test report: Aux Tel DAQ interface Verification and Spectrograph Operations Rehearsal,,6/1/2018 8:00:00 AM,"LDM-503-08, EIA-19",
LDM-503-11a,Not Started,LSST BL 18-03.02C.00,Test report: DM ComCam operations readiness,,9/30/2019 5:00:00 PM,LDM-503-11,
LSST-1200,Not Started,LSST BL 18-03.02C.00,Interface Verification: Single Visit,,12/29/2017 5:00:00 PM,LDM-503-06,
LSST-1220,Not Started,LSST BL 18-03.02C.00,EFD ETL Under DM Control,,9/28/2018 5:00:00 PM,DM-NCSA-12,
T&SC-1150-0600,Not Started,LSST BL 18-03.04C.00,Atmospheric Telescope Completion,,6/3/2019 5:00:00 PM,"COMC-1464, COMC-060200-20780",
T&SC-1100-0900,Not Started,LSST BL 18-03.04C.00,WFS Software Complete,,4/2/2018 8:00:00 AM,"COMC-1264, T&SC-5900-1600",
COMC-1264,Not Started,LSST BL 18-03.06C.00.02,Commissioning Software Stack Tested and Integrated,,4/2/2018 8:00:00 AM,COMC-0030,
COMC-1664,Not Started,LSST BL 18-03.06C.00.02,DMS Archive Center Complete,,8/7/2020 5:00:00 PM,,
